model,iter,tracc,trfa,trdr,teacc,tefa,tedr,tteacc,ttefa,ttedr
YcwtFsvm,4,0.998178506,0.001152516,0.995658466,0.924458744,0.04478303,0.804244119,0.726034309,0.180021954,0.418404026
YcwtFsvm,5,0.99835354,0.001516013,0.997863248,0.927170591,0.046446896,0.824612403,0.597390136,0.236725664,0.006999125
YcwtFsvm,6,0.998796087,0.000954563,0.997867804,0.92347159,0.050180037,0.82244341,0.65431179,0.183592842,0
YcwtFsvm,7,0.998792271,0.000569044,0.996301775,0.924306504,0.040904898,0.790082511,0.733296923,0.073433115,0.054231717
YcwtFsvm,8,0.997904505,0.001333587,0.995111732,0.923638647,0.0476537,0.812565361,0.72119403,0.113722517,0.109550562
YcwtFsvm,9,0.99848393,0.000951656,0.996274218,0.920717011,0.047482621,0.797768366,0.726458157,0.115117289,0.170099161
YcwtFrf,0,1,0,1,0.878341844,0.005522184,0.436723571,0.803935599,0.009984469,0.029547553
YcwtFrf,1,1,0,1,0.880826621,0.007736663,0.446572907,0.759018759,0.036756757,0.102519548
YcwtFrf,2,1,0,1,0.881351997,0.006318583,0.465241476,0.866550792,0.007548845,0.025222552
YcwtFrf,3,1,0,1,0.876545497,0.006457959,0.442390097,0.836497049,0.015026296,0
YcwtFrf,4,1,0,1,0.874706592,0.005291898,0.4086629,0.749579266,0.021973193,0.002156722
YcwtFrf,5,1,0,1,0.882051621,0.006505653,0.44986297,0.75792039,0.013752975,0.002624672
YcwtFrf,6,1,0,1,0.874403842,0.003944442,0.411106672,0.78310286,0.019226205,0.001876173
YcwtFrf,7,1,0,1,0.880331201,0.006523472,0.443562753,0.773763912,0.005628518,0.000821693
YcwtFrf,8,1,0,1,0.877971762,0.005688567,0.431132453,0.770351157,0.02510142,0.014981273
YcwtFrf,9,1,0,1,0.875165336,0.005208663,0.414188201,0.72841787,0.073659272,0.027459954
YcwtFdnn,0,0.824871562,0.007228457,0.176340926,0.819589437,0.008653075,0.167854569,0.792986828,0.017640573,0
YcwtFdnn,1,0.867453676,0.121863799,0.82674335,0.858268107,0.130519629,0.814674308,0.494649446,0.391192317,0.071242398
YcwtFdnn,2,0.856906907,0.048071442,0.498926271,0.844760973,0.055093051,0.475272162,0.672912498,0.233879328,0.005934718
YcwtFdnn,3,0.864675404,0.115056267,0.790482955,0.858600657,0.118871109,0.774765464,0.720701867,0.151129675,0.006349206
YcwtFdnn,4,0.852642738,0.056704981,0.510484454,0.850541069,0.060505542,0.5020153,0.593573748,0.224439462,0.010064702
YcwtFdnn,5,0.815028902,0.140491254,0.640932265,0.808652083,0.144789033,0.62617801,0.552054542,0.300653595,0
YcwtFdnn,6,0.854414198,0.027037319,0.408732999,0.852920642,0.034451667,0.422120629,0.786798179,0.01402758,0.000938086
YcwtFdnn,7,0.808843234,0.125303455,0.549926579,0.804031171,0.132029542,0.553108808,0.771600437,0.095572734,0.30566968
YcwtFdnn,8,0.841640473,0.02002645,0.314121037,0.83733973,0.023785699,0.303326653,0.78229082,0.001037344,0
YcwtFdnn,9,0.849173867,0.028090961,0.37829912,0.844444072,0.033048097,0.370186031,0.632610581,0.182532555,0.004576659
NcwtHsvm,0,1,0,1,0.983217086,0.009846185,0.970142078,0.467943449,0.367880379,0.045521292
NcwtHsvm,1,1,0,1,0.98250575,0.008590159,0.965491589,0.533683618,0.225599782,0.002107164
NcwtHsvm,2,0.99992511,0,0.999785177,0.981367798,0.010066474,0.965332635,0.812337098,0.160882432,0.744273504
NcwtHsvm,3,1,0,1,0.983069816,0.007291155,0.9650975,0.615946684,0.14159292,0.002268217
NcwtHsvm,4,1,0,1,0.982453644,0.007649309,0.963709482,0.466895818,0.505437352,0.404628891
NcwtHsvm,5,0.999925395,0,0.999782939,0.982658053,0.008341289,0.965436847,0.471331961,0.305567798,0.024146054
NcwtHsvm,6,1,0,1,0.982889466,0.007965958,0.965535474,0.465067779,0.314517256,0
NcwtHsvm,7,1,0,1,0.981979357,0.008314533,0.963411086,0.449493702,0.387997125,0.092392735
NcwtHsvm,8,1,0,1,0.981821182,0.007229823,0.960809346,0.597718554,0.246645866,0.312356979
NcwtHsvm,9,1,0,1,0.984117426,0.007170795,0.967627205,0.542433419,0.255365508,0.040810811
NcwtHrf,0,1,0,1,0.844193626,0.005461552,0.560953915,0.677954019,0.038249968,0.026431718
NcwtHrf,1,1,0,1,0.843725004,0.006105834,0.556886084,0.62353421,0.098689283,0.08127634
NcwtHrf,2,1,0,1,0.843437145,0.007874516,0.564885315,0.767479988,0.013433638,0.20991453
NcwtHrf,3,1,0,1,0.844152347,0.006011869,0.564803432,0.709017046,0.018389277,0.011341083
NcwtHrf,4,1,0,1,0.845399389,0.006609816,0.564974078,0.641986879,0.064677864,0.019420059
